"","date","city","home_team","away_team","home_ft","away_ft","tournament","year","month","totalGoals","site"
"1","1872-11-30","Glasgow, Scotland","Scotland","England",0,0,"Friendly","1872","11",0,2
"2","1873-03-08","London, England","England","Scotland",4,2,"Friendly","1873","3",6,2
"3","1874-03-07","Glasgow, Scotland","Scotland","England",2,1,"Friendly","1874","3",3,2
"4","1875-03-06","London, England","England","Scotland",2,2,"Friendly","1875","3",4,2
"5","1876-03-04","Glasgow, Scotland","Scotland","England",3,0,"Friendly","1876","3",3,2
"6","1876-03-25","Glasgow, Scotland","Scotland","Wales",4,0,"Friendly","1876","3",4,1
"7","1877-03-03","London, England","England","Scotland",1,3,"Friendly","1877","3",4,2
"8","1877-03-05","Wrexham, Wales","Wales","Scotland",0,2,"Friendly","1877","3",2,2
"9","1878-03-02","Glasgow, Scotland","Scotland","England",7,2,"Friendly","1878","3",9,2
"10","1878-03-23","Glasgow, Scotland","Scotland","Wales",9,0,"Friendly","1878","3",9,2
"11","1879-01-18","London, England","England","Wales",2,1,"Friendly","1879","1",3,2
"12","1879-04-05","London, England","England","Scotland",5,4,"Friendly","1879","4",9,1
"13","1879-04-07","Wrexham, Wales","Wales","Scotland",0,3,"Friendly","1879","4",3,1
"14","1880-03-13","Glasgow, Scotland","Scotland","England",5,4,"Friendly","1880","3",9,2
"15","1880-03-15","Wrexham, Wales","Wales","England",2,3,"Friendly","1880","3",5,1
"16","1880-03-27","Glasgow, Scotland","Scotland","Wales",5,1,"Friendly","1880","3",6,1
"17","1881-02-26","Blackburn, England","England","Wales",0,1,"Friendly","1881","2",1,1
"18","1881-03-12","London, England","England","Scotland",1,6,"Friendly","1881","3",7,2
"19","1881-03-14","Wrexham, Wales","Wales","Scotland",1,5,"Friendly","1881","3",6,2
"20","1882-02-18","Belfast, Ireland","Northern Ireland","England",0,13,"Friendly","1882","2",13,1
"21","1882-02-25","Wrexham, Wales","Wales","Northern Ireland",7,1,"Friendly","1882","2",8,1
"22","1882-03-11","Glasgow, Scotland","Scotland","England",5,1,"Friendly","1882","3",6,2
"23","1882-03-13","Wrexham, Wales","Wales","England",5,3,"Friendly","1882","3",8,2
"24","1882-03-25","Glasgow, Scotland","Scotland","Wales",5,0,"Friendly","1882","3",5,2
"25","1883-02-03","London, England","England","Wales",5,0,"Friendly","1883","2",5,2
"26","1883-02-24","Liverpool, England","England","Northern Ireland",7,0,"Friendly","1883","2",7,2
"27","1883-03-10","Sheffield, England","England","Scotland",2,3,"Friendly","1883","3",5,1
"28","1883-03-12","Wrexham, Wales","Wales","Scotland",0,3,"Friendly","1883","3",3,1
"29","1883-03-17","Belfast, Ireland","Northern Ireland","Wales",1,1,"Friendly","1883","3",2,2
"30","1884-01-26","Belfast, Ireland","Northern Ireland","Scotland",0,5,"British Championship","1884","1",5,2
"31","1884-02-09","Wrexham, Wales","Wales","Northern Ireland",6,0,"British Championship","1884","2",6,2
"32","1884-02-23","Belfast, Ireland","Northern Ireland","England",1,8,"British Championship","1884","2",9,2
"33","1884-03-15","Glasgow, Scotland","Scotland","England",1,0,"British Championship","1884","3",1,1
"34","1884-03-17","Wrexham, Wales","Wales","England",0,4,"British Championship","1884","3",4,2
"35","1884-03-29","Glasgow, Scotland","Scotland","Wales",4,1,"British Championship","1884","3",5,2
"36","1885-02-28","Manchester, England","England","Northern Ireland",4,0,"British Championship","1885","2",4,2
"37","1885-03-14","Blackburn, England","England","Wales",1,1,"British Championship","1885","3",2,2
"38","1885-03-14","Glasgow, Scotland","Scotland","Northern Ireland",8,2,"British Championship","1885","3",10,2
"39","1885-03-21","London, England","England","Scotland",1,1,"British Championship","1885","3",2,1
"40","1885-03-23","Wrexham, Wales","Wales","Scotland",1,8,"British Championship","1885","3",9,1
"41","1885-04-11","Belfast, Ireland","Northern Ireland","Wales",2,8,"British Championship","1885","4",10,1
"42","1885-11-28","Newark, United States","USA","Canada",0,1,"Friendly","1885","11",1,2
"43","1886-02-27","Wrexham, Wales","Wales","Northern Ireland",5,0,"British Championship","1886","2",5,1
